,NPC_NAME,Area of NPC,crime_count,NPC Area in km2,crime rate npc area
0,Ang Mo Kio North Neighbourhood Police Centre,32200512,165,32.200512,5.12414212544198
1,Ang Mo Kio South Neighbourhood Police Centre,2898007,78,2.898007,26.915048859440297
2,Bedok North Neighbourhood Police Centre,6934719,241,6.934719,34.75266986304708
3,Bedok South Neighbourhood Police Centre,11989302,150,11.989302,12.511153693517771
4,Bishan Neighbourhood Police Centre,13324358,83,13.324358,6.229193181390053
5,Bukit Batok Neighbourhood Police Centre,11248600,186,11.2486,16.53539107088882
6,Bukit Merah East Neighbourhood Police Centre,6872514,167,6.872514,24.299695860932406
7,Bukit Merah West Neighbourhood Police Centre,11887951,133,11.887951,11.187798469223166
8,Bukit Panjang Neighbourhood Police Centre,10887860,155,10.88786,14.236039037974404
9,Bukit Timah Neighbourhood Police Centre,18295442,82,18.295442,4.481990651004769
10,Changi Neighbourhood Police Centre,44164281,84,44.164281,1.9019895285966502
11,Choa Chu Kang Neighbourhood Police Centre,59408624,248,59.408624,4.1744781027077815
12,Clementi Neighbourhood Police Centre,12572911,169,12.572911,13.441596778979825
13,Geylang Neighbourhood Police Centre,9837338,190,9.837338,19.314168121497907
14,Hougang Neighbourhood Police Centre,11471781,181,11.471781,15.777846526184558
15,Jurong East Neighbourhood Police Centre,48243071,137,48.243071,2.8397860492753457
16,Jurong West Neighbourhood Police Centre,28174675,160,28.174675,5.678858762345972
17,Kampong Java Neighbourhood Police Centre,9494949,113,9.494949,11.90106445016187
18,Marina Bay Neighbourhood Police Centre,7139943,98,7.139943,13.725599770194245
19,Marine Parade Neighbourhood Police Centre,11749515,114,11.749515,9.70252814690649
20,Nanyang Neighbourhood Police Centre,62976263,432,62.976263,6.8597274500076315
21,Orchard Neighbourhood Police Centre,5851841,107,5.851841,18.284844034552545
22,Pasir Ris Neighbourhood Police Centre,16652658,143,16.652658,8.587217728244944
23,Punggol Neighbourhood Police Centre,18867333,190,18.867333,10.070315714467965
24,Queenstown Neighbourhood Police Centre,26000909,158,26.000909,6.076710625770814
25,Rochor Neighbourhood Police Centre,5823799,177,5.823799,30.392532434584364
26,Sembawang Neighbourhood Police Centre,19776395,179,19.776395,9.051194618634993
27,Sengkang Neighbourhood Police Centre,10510437,256,10.510437,24.356741779623437
28,Serangoon Neighbourhood Police Centre,10094815,97,10.094815,9.60889327838103
29,Tampines Neighbourhood Police Centre,21482451,135,21.482451,6.284199135377988
30,Toa Payoh Neighbourhood Police Centre,8220827,187,8.220827,22.747103180738385
31,Woodlands East Neighbourhood Police Centre,8587171,243,8.587171,28.29802737129609
32,Woodlands West Neighbourhood Police Centre,50512477,310,50.512477,6.137097572942226
33,Yishun North Neighbourhood Police Centre,10217998,252,10.217998,24.662365367462392
34,Yishun South Neighbourhood Police Centre,12182277,102,12.182277,8.3728189730048
