"","NPC_NAME","HC_in_buffer","CC_in_buffer","TA_in_buffer","HC_in_NPC_polygon","CC_in_NPC_polygon","TA_in_NPC_polygon","HC_percent","CC_percent","TA_percent"
"1","Ang Mo Kio North Neighbourhood Police Centre",5,3,0,5,3,0,100,100,0
"2","Ang Mo Kio South Neighbourhood Police Centre",5,2,0,5,2,0,100,100,0
"3","Bedok North Neighbourhood Police Centre",6,5,0,6,5,0,100,100,0
"4","Bedok South Neighbourhood Police Centre",3,5,0,4,5,0,75,100,0
"5","Bishan Neighbourhood Police Centre",1,4,0,1,4,1,100,100,0
"6","Bukit Merah East Neighbourhood Police Centre",9,5,10,9,5,10,100,100,100
"7","Bukit Merah West Neighbourhood Police Centre",8,3,6,8,4,12,100,75,50
"8","Bukit Timah Neighbourhood Police Centre",3,1,0,4,1,1,75,100,0
"9","Changi Neighbourhood Police Centre",1,2,0,2,2,1,50,100,0
"10","Clementi Neighbourhood Police Centre",6,3,0,6,3,0,100,100,0
"11","Geylang Neighbourhood Police Centre",10,4,0,11,4,0,90.9090909090909,100,0
"12","Hougang Neighbourhood Police Centre",3,5,1,3,6,1,100,83.3333333333333,100
"13","Jurong East Neighbourhood Police Centre",3,2,2,3,2,2,100,100,100
"14","Jurong West Neighbourhood Police Centre",3,5,0,3,5,1,100,100,0
"15","Kampong Java Neighbourhood Police Centre",4,1,1,4,2,1,100,50,100
"16","Marina Bay Neighbourhood Police Centre",5,0,27,5,0,43,100,0,62.7906976744186
"17","Marine Parade Neighbourhood Police Centre",4,4,4,4,4,4,100,100,100
"18","Orchard Neighbourhood Police Centre",1,1,7,1,1,8,100,100,87.5
"19","Pasir Ris Neighbourhood Police Centre",1,1,0,1,2,0,100,50,0
"20","Queenstown Neighbourhood Police Centre",8,3,2,9,4,5,88.8888888888889,75,40
"21","Rochor Neighbourhood Police Centre",6,5,6,6,5,6,100,100,100
"22","Sembawang Neighbourhood Police Centre",1,1,0,1,2,0,100,50,0
"23","Sengkang Neighbourhood Police Centre",1,3,0,3,6,0,33.3333333333333,50,0
"24","Serangoon Neighbourhood Police Centre",2,3,0,2,3,0,100,100,0
"25","Tampines Neighbourhood Police Centre",1,4,0,1,4,0,100,100,0
"26","Toa Payoh Neighbourhood Police Centre",7,6,0,7,6,0,100,100,0
"27","Woodlands East Neighbourhood Police Centre",1,1,0,1,3,0,100,33.3333333333333,0
"28","Woodlands West Neighbourhood Police Centre",2,3,0,2,3,5,100,100,0
"29","Yishun North Neighbourhood Police Centre",2,4,0,2,4,0,100,100,0
