year,police_division,npc,crime_count
2020,Ang Mo Kio Police Division,Ang Mo Kio North Neighbourhood Police Centre,165
2020,Ang Mo Kio Police Division,Ang Mo Kio South Neighbourhood Police Centre,78
2020,Ang Mo Kio Police Division,Hougang Neighbourhood Police Centre,181
2020,Ang Mo Kio Police Division,Punggol Neighbourhood Police Centre,190
2020,Ang Mo Kio Police Division,Sengkang Neighbourhood Police Centre,256
2020,Ang Mo Kio Police Division,Serangoon Neighbourhood Police Centre,97
2020,Bedok Police Division,Bedok North Neighbourhood Police Centre,241
2020,Bedok Police Division,Bedok South Neighbourhood Police Centre,150
2020,Bedok Police Division,Changi Neighbourhood Police Centre,84
2020,Bedok Police Division,Geylang Neighbourhood Police Centre,190
2020,Bedok Police Division,Marine Parade Neighbourhood Police Centre,114
2020,Bedok Police Division,Pasir Ris Neighbourhood Police Centre,143
2020,Bedok Police Division,Tampines Neighbourhood Police Centre,135
2020,Central Police Division,Bukit Merah East Neighbourhood Police Centre,167
2020,Central Police Division,Marina Bay Neighbourhood Police Centre,98
2020,Central Police Division,Rochor Neighbourhood Police Centre,177
2020,Clementi Police Division,Bukit Merah West Neighbourhood Police Centre,133
2020,Clementi Police Division,Clementi Neighbourhood Police Centre,169
2020,Clementi Police Division,Jurong East Neighbourhood Police Centre,137
2020,Clementi Police Division,Queenstown Neighbourhood Police Centre,158
2020,Jurong Police Division,Bukit Batok Neighbourhood Police Centre,186
2020,Jurong Police Division,Bukit Panjang Neighbourhood Police Centre,155
2020,Jurong Police Division,Choa Chu Kang Neighbourhood Police Centre,248
2020,Jurong Police Division,Jurong West Neighbourhood Police Centre,160
2020,Jurong Police Division,Nanyang Neighbourhood Police Centre,432
2020,Tanglin Police Division,Bishan Neighbourhood Police Centre,83
2020,Tanglin Police Division,Bukit Timah Neighbourhood Police Centre,82
2020,Tanglin Police Division,Kampong Java Neighbourhood Police Centre,113
2020,Tanglin Police Division,Orchard Neighbourhood Police Centre,107
2020,Tanglin Police Division,Toa Payoh Neighbourhood Police Centre,187
2020,Woodlands Police Division,Sembawang Neighbourhood Police Centre,179
2020,Woodlands Police Division,Woodlands East Neighbourhood Police Centre,243
2020,Woodlands Police Division,Woodlands West Neighbourhood Police Centre,310
2020,Woodlands Police Division,Yishun North Neighbourhood Police Centre,252
2020,Woodlands Police Division,Yishun South Neighbourhood Police Centre,102
